date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",108.20,109.20,110.40,108.10,166.85K,-0.64%
"Mar 28, 2022",108.90,106.50,109.30,106.50,339.31K,2.74%
"Mar 27, 2022",106.00,104.80,106.30,104.00,152.68K,2.51%
"Mar 24, 2022",103.40,104.80,105.00,103.20,112.95K,-1.15%
"Mar 23, 2022",104.60,105.00,105.00,104.40,54.19K,0.48%
"Mar 22, 2022",104.10,103.00,104.50,103.00,168.47K,1.07%
"Mar 21, 2022",103.00,103.00,104.70,102.80,80.50K,-1.44%
"Mar 20, 2022",104.50,106.60,106.60,104.50,78.93K,-1.97%
"Mar 16, 2022",106.60,107.00,107.00,104.90,144.10K,-0.37%
"Mar 15, 2022",107.00,108.00,108.10,106.50,93.10K,-1.38%
"Mar 14, 2022",108.50,105.90,109.90,104.60,351.99K,3.14%
"Mar 13, 2022",105.20,104.30,105.50,102.30,82.17K,2.04%
"Mar 10, 2022",103.10,102.30,105.40,101.10,55.88K,0.78%
"Mar 09, 2022",102.30,100.00,103.00,100.00,58.44K,2.40%
"Mar 08, 2022",99.90,98.10,101.00,95.00,85.84K,1.52%
"Mar 07, 2022",98.40,102.20,102.30,98.20,112.76K,-1.40%
"Mar 06, 2022",99.80,101.10,101.10,99.60,61.59K,-1.19%
"Mar 03, 2022",101.00,100.10,101.70,98.30,198.31K,0.30%
"Mar 02, 2022",100.70,102.50,102.50,100.00,102.11K,-1.66%
